celex,hybridity_score,hybridity_std,hybridity_max,n_articles,dominant_lamf,dom,dominant_lamf_pct,most_hybrid_article,lamf_L1,lamf_L2,lamf_L3,lamf_L4,title
dlgs_59_2010,0.742681221722763,0.2439090766139443,0.7817894770507368,86,L2,Level 2 — Operational rules,44.18604651162791,art75,44.48642993217146,41.99464224239349,0.9490273610774427,12.569900464357607,"DECRETO LEGISLATIVO



		



		 	



			26

			marzo

			2010, n. 59 Attuazione  della  direttiva  2006/123/CE  relativa  ai servizi nel
mercato interno. (10G0080) note: Entrata in vigore del provvedimento: 8/5/2010 (Ultimo aggiornamento all'atto pubblicato il 30/12/2023) (GU n.94 del 23-04-2010 - S"
l_90_2024,0.7244844797596961,0.22006662053897347,0.6236868591687277,24,L2,Level 2 — Operational rules,45.83333333333333,art1,37.692270691375626,47.48801650704953,0.0,14.819712801574854,"LEGGE



		



		 	



			28

			giugno

			2024, n. 90 Disposizioni  in  materia  di  rafforzamento   della   cybersicurezza
nazionale e di reati informatici. (24G00108) note: Entrata in vigore del provvedimento: 17/07/2024 (Ultimo aggiornamento all'atto pubblicato il 25/09/2025) (GU n.153 del 02-0"
dlgs_228_2011,0.7050190991815172,0.20972995360198612,0.4983958145481233,11,L2,Level 2 — Operational rules,54.54545454545454,art11,46.395316127817196,41.46110202710842,0.0,12.143581845074381,"DECRETO LEGISLATIVO



		



		 	



			29

			dicembre

			2011, n. 228 Attuazione dell'articolo 30, comma 9, lettere a), b), c) e  d)  della
legge 31 dicembre 2009, n.  196,  in  materia  di  valutazione  degli
investimenti relativi ad opere pubbliche. (12G0015) note: Entrata in vigore del provved"
dlgs_33_2013,0.6877606122866857,0.26757993329335494,0.7495323638171594,53,L2,Level 2 — Operational rules,58.490566037735846,art15,36.121383023246565,53.33945284392068,0.2890643868586999,10.250099745974056,"DECRETO LEGISLATIVO



		



		 	



			14

			marzo

			2013, n. 33 ((Riordino della  disciplina  riguardante  il diritto di accesso civico e gli obblighi di pubblicità,  trasparenza e   diffusione   di   informazioni   da   parte    delle    pubbliche amministrazioni.)) (13G00076) note: Entrata in"
l_190_2012,0.6759621147119301,0.15128111715632017,0.7139438061707261,2,L1,Level 1 — Framework principles,50.0,art1,36.811023622047244,52.99907364520611,0.0,10.189902732746642,"LEGGE



		



		 	



			6

			novembre

			2012, n. 190 Disposizioni per la prevenzione e la repressione della  corruzione  e
dell'illegalità nella pubblica amministrazione. (12G0213) note: Entrata in vigore del provvedimento: 28/11/2012 (Ultimo aggiornamento all'atto pubblicato il 19/02/2026) (GU"
32014L0023,0.665503126399615,0.2323484070123098,0.7087880805464539,55,L2,Level 2 — Operational rules,54.54545454545454,42,42.30681716976022,49.95125100789613,0.3367003367003367,7.405231485643319,
l_241_1990,0.6414958410266742,0.27315066335734156,0.787428027843347,31,L1,Level 1 — Framework principles,54.83870967741935,art19,54.56030032448058,38.450234460713155,0.10043719721139076,6.889028017594867,"LEGGE



		



		 	



			7

			agosto

			1990, n. 241 Nuove norme in materia di procedimento amministrativo e di diritto

di accesso ai documenti amministrativi. note: Entrata in vigore della legge: 2-9-1990 (Ultimo aggiornamento all'atto pubblicato il 19/02/2026) (GU n.192 del 18-08-1990) visuali"
32014L0024,0.637434835451367,0.21830775045395126,0.9103414551071053,94,L2,Level 2 — Operational rules,64.8936170212766,59,31.59535825154059,60.3336833806063,0.26477677889219176,7.80618158896092,
dlgs_229_2011,0.6246199439893961,0.1996805635540927,0.45914791558454976,12,L2,Level 2 — Operational rules,75.0,art5,19.349687234944867,69.87847222222221,8.333333333333334,2.438507209499576,"DECRETO LEGISLATIVO



		



		 	



			29

			dicembre

			2011, n. 229 Attuazione dell'articolo 30, comma 9, lettere  e),  f)  e  g),  della
legge  31  dicembre  2009,  n.  196,  in  materia  di  procedure   di
monitoraggio sullo stato di  attuazione  delle  opere  pubbliche,  di
verifica  dell'ut"
l_136_2010,0.6161315831895788,0.1489754913320166,0.48801032267561245,16,L2,Level 2 — Operational rules,62.5,art9,33.54301937164238,59.804832156356206,0.0,6.6521484720014135,"LEGGE



		



		 	



			13

			agosto

			2010, n. 136 Piano straordinario contro le mafie, nonchè  delega  al  Governo  in
materia di normativa antimafia. (10G0162) note: Entrata in vigore del provvedimento: 07/09/2010 (Ultimo aggiornamento all'atto pubblicato il 21/09/2011) (GU n.196 del 23-08-2"
